19960909T,0.46,0.46,0.46,0.46,0.0
19970904T,0.42,0.42,0.42,0.42,0.0
19951005T,0.39,0.39,0.39,0.39,0.0
19951012T,0.41,0.41,0.41,0.41,0.0
19961007T,0.47,0.47,0.47,0.47,0.0
19971002T,0.46,0.46,0.46,0.46,0.0
19951102T,0.47,0.47,0.47,0.47,0.0
19951109T,0.49,0.49,0.49,0.49,0.0
19961104T,0.46,0.46,0.46,0.46,0.0
19961110T,0.48,0.48,0.48,0.48,0.0
19971106T,0.51,0.51,0.51,0.51,0.0
19951207T,0.48,0.48,0.48,0.48,0.0
19961202T,0.51,0.51,0.51,0.51,0.0
19961209T,0.48,0.48,0.48,0.48,0.0
19971204T,0.46,0.46,0.46,0.46,0.0
19960104T,0.55,0.55,0.55,0.55,0.0
19960111T,0.55,0.55,0.55,0.55,0.0
19970106T,0.42,0.42,0.42,0.42,0.0
19980101T,0.36,0.36,0.36,0.36,0.0
19960201T,0.54,0.54,0.54,0.54,0.0
19960208T,0.53,0.53,0.53,0.53,0.0
19970203T,0.54,0.54,0.54,0.54,0.0
19970210T,0.49,0.49,0.49,0.49,0.0
19980205T,0.45,0.45,0.45,0.45,0.0
19960307T,0.44,0.44,0.44,0.44,0.0
19970302T,0.36,0.36,0.36,0.36,0.0
19970309T,0.47,0.47,0.47,0.47,0.0
19980304T,0.45,0.45,0.45,0.45,0.0
19960404T,0.4,0.4,0.4,0.4,0.0
19960411T,0.4,0.4,0.4,0.4,0.0
19970406T,0.36,0.36,0.36,0.36,0.0
19980401T,0.28,0.28,0.28,0.28,0.0
19960502T,0.48,0.48,0.48,0.48,0.0
19960509T,0.46,0.46,0.46,0.46,0.0
19970504T,0.37,0.37,0.37,0.37,0.0
19970511T,0.51,0.51,0.51,0.51,0.0
19980506T,0.61,0.61,0.61,0.61,0.0
19960606T,0.47,0.47,0.47,0.47,0.0
19970601T,0.49,0.49,0.49,0.49,0.0
19970608T,0.42,0.42,0.42,0.42,0.0
19980603T,0.42,0.42,0.42,0.42,0.0
19960703T,0.32,0.32,0.32,0.32,0.0
19960711T,0.4,0.4,0.4,0.4,0.0
19970706T,0.29,0.29,0.29,0.29,0.0
19980701T,0.3,0.3,0.3,0.3,0.0
19960801T,0.29,0.29,0.29,0.29,0.0
19960808T,0.27,0.27,0.27,0.27,0.0
19970803T,0.43,0.43,0.43,0.43,0.0
19970810T,0.28,0.28,0.28,0.28,0.0
19980805T,0.28,0.28,0.28,0.28,0.0
19960905T,0.29,0.29,0.29,0.29,0.0
19960912T,0.26,0.26,0.26,0.26,0.0
19970907T,0.28,0.28,0.28,0.28,0.0
